,Suburb 2011,Number-2011
1,Blacktown,849
2,Auburn,818
3,Bankstown,708
4,Merrylands,644
5,Orange,580
6,Dubbo,565
7,Liverpool,514
8,Guildford,504
9,Quakers Hill,491
10,Randwick,476
11,Wagga Wagga,471
12,Lakemba,457
13,Baulkham Hills,454
14,Parramatta,451
15,Maroubra,443
16,Tamworth,441
17,Port Macquarie,420
18,Marrickville,408
19,Hurstville,407
20,Castle Hill,406
21,Punchbowl,387
22,Greenacre,382
23,Granville,374
24,Ashfield,372
25,Hornsby,371
26,Mosman,369
27,Dee Why,361
28,Campsie,346
29,Fairfield,344
30,Westmead,341
31,Greystanes,335
32,Leichhardt,332
33,Cabramatta,321
34,Glenmore Park,318
35,Coffs Harbour,314
36,St Clair,305
37,Bexley,302
38,Lidcombe,301
39,Lane Cove,298
40,Rockdale,288
41,Engadine,287
42,Manly,286
43,Ryde,281
44,Chatswood,280
45,Coogee,278
46,Caringbah,277
47,Cronulla,271
48,Armidale,270
49,Bathurst,262
50,Seven Hills,259
51,Wentworthville,258
52,Casula,256
53,Kogarah,255
54,Goulburn,250
55,Kellyville,249
56,Prestons,245
57,Strathfield,244
58,Dulwich Hill,242
59,Yagoona,242
60,Griffith,240
61,Wiley Park,239
62,Cranebrook,236
63,St Marys,235
64,Bondi,230
65,Muswellbrook,226
66,Glenwood,218
67,Miranda,215
68,Paddington,215
69,Mount Druitt,214
70,Kellyville Ridge,211
71,Carlingford,209
72,Ingleburn,209
73,Epping,208
74,Macquarie,206
75,Raymond,206
76,North,205
77,Balmain,203
78,Drummoyne,202
79,Cremorne,201
80,Rooty Hill,201
81,Earlwood,197
82,Rozelle,197
83,Neutral Bay,196
84,Stanhope,192
85,Sutherland,192
86,West Ryde,192
87,Charlestown,191
88,Toongabbie,191
89,Penshurst,190
90,Belmore,189
91,Newtown,189
92,Revesby,189
93,Wollongong,189
94,Annandale,187
95,Singleton,187
96,Sydney,186
97,Chester Hill,185
98,Cessnock,183
99,Roselands,183
100,Kingsford,181
